date,year,month,day,weekday,hour,is_weekend
2023-01-09,2023,1,9,0,1,False
2023-01-09,2023,1,9,0,2,False
2023-01-09,2023,1,9,0,3,False
2023-01-09,2023,1,9,0,4,False
2023-01-09,2023,1,9,0,5,False
2023-01-09,2023,1,9,0,6,False
2023-01-09,2023,1,9,0,7,False
2023-01-09,2023,1,9,0,8,False
2023-01-09,2023,1,9,0,9,False
2023-01-09,2023,1,9,0,10,False
2023-01-09,2023,1,9,0,11,False
2023-01-09,2023,1,9,0,12,False
2023-01-09,2023,1,9,0,13,False
2023-01-09,2023,1,9,0,14,False
2023-01-09,2023,1,9,0,15,False
2023-01-09,2023,1,9,0,16,False
2023-01-09,2023,1,9,0,17,False
2023-01-09,2023,1,9,0,18,False
2023-01-09,2023,1,9,0,19,False
2023-01-09,2023,1,9,0,20,False
2023-01-09,2023,1,9,0,21,False
2023-01-09,2023,1,9,0,22,False
2023-01-09,2023,1,9,0,23,False
2023-01-10,2023,1,10,1,0,False
2023-01-10,2023,1,10,1,1,False
2023-01-10,2023,1,10,1,2,False
2023-01-10,2023,1,10,1,3,False
2023-01-10,2023,1,10,1,4,False
2023-01-10,2023,1,10,1,5,False
2023-01-10,2023,1,10,1,6,False
2023-01-10,2023,1,10,1,7,False
2023-01-10,2023,1,10,1,8,False
2023-01-10,2023,1,10,1,9,False
2023-01-10,2023,1,10,1,10,False
2023-01-10,2023,1,10,1,11,False
2023-01-10,2023,1,10,1,12,False
2023-01-10,2023,1,10,1,13,False
2023-01-10,2023,1,10,1,14,False
2023-01-10,2023,1,10,1,15,False
2023-01-10,2023,1,10,1,16,False
2023-01-10,2023,1,10,1,17,False
2023-01-10,2023,1,10,1,18,False
2023-01-10,2023,1,10,1,19,False
2023-01-10,2023,1,10,1,20,False
2023-01-10,2023,1,10,1,21,False
2023-01-10,2023,1,10,1,22,False
2023-01-10,2023,1,10,1,23,False
2023-01-11,2023,1,11,2,0,False
2023-01-11,2023,1,11,2,1,False
2023-01-11,2023,1,11,2,2,False
2023-01-11,2023,1,11,2,3,False
2023-01-11,2023,1,11,2,4,False
